act, ear, blade, afternoon, zinc, degree, flag, quarter, tin, grade, angle, ship, hot, caption, prison, mitten, knife
ff, 14, 1, 1.768066, pie, 1, 0, 1, 0, 0, -0.060608, 5, 1, 31401.902344, k, 0, 5599606736351122977
fd, 60, -1, -57553.552734, potato, 1, 1, 1, 0, 0, 0.000641, 1, 1, 31401.902344, k, 1, 44742
16, 50, 1962, -1946.127441, bath, 3, 0, 0, 0, 0, -86.194733, 63, 1, 23354.117188, >, 1, 1232243818723203
ff, 15, 2357117, 325602.885254, shock, 602919, 1, 0, 0, 1, 676.435608, 85, 1, 11596.037109, *, 1, 4269743499
ff, 15, 2357117, 325602.885254, shock, 602919, 1, 0, 0, 0, 676.435608, 1606, 1, 11596.037109, *, 1, 4269743499
ff, 15, 2357117, 325602.885254, shock, 602919, 1, 0, 0, 0, 1935.359253, 1606, 1, 11596.037109, *, 1, 4269743499
0, 154, 32834, 0.651855, coach, 421, 1, 1, 1, 0, -554.769226, 1515, 1, 7669.344238, Y, 1, 218930466146
0, 154, 32834, 0.651855, coach, 421, 1, 1, 1, 0, 0.000519, 755, 1, 7669.344238, Y, 1, 218930466146
3, 119, -3, 0.270508, liquid, 4, 1, 0, 0, 0, 0.000519, 54, 1, 7647.704590, Y, 1, 906719998556382367
3, 119, -3, -331504.280273, boy, 4, 1, 0, 0, 0, 0.000519, 566, 1, 7647.704590, Y, 1, 906719998556382367
ff, 121, -1, -844.226562, jar, 6112, 0, 1, 1, 1, 421.730774, 1, 0, 7467.722168, n, 0, 14
f7, 16, -1643123, 0.001953, jam, 1413, 1, 0, 1, 0, 0.000092, 3182, 0, 7301.571289, f, 0, 380923
f7, 0, 89389956, 0.001465, eggs, 1413, 1, 0, 1, 0, -217.109619, 10, 0, 7301.571289, f, 1, 380923
0, 0, -8, 53768.497070, eggs, 5623, 1, 0, 1, 0, 1.000000, 481, 0, 6506.340332, 7, 1, 11165274446019
1c, 180, 1, -0.000977, , 0, 1, 0, 0, 1, 1.601105, 4050, 0, 5619.552246, (, 1, 452
34, 4, -6292386, 85473.447266, rabbit, 341, 1, 1, 0, 1, 146.003723, 47, 0, 4674.234375, W, 0, 1367521112
34, 4, -6292386, 85473.447266, rabbit, 341, 1, 1, 0, 0, 89.388306, 26, 0, 4674.234375, W, 0, 1367521112
f7, 4, -6292386, -13852.650879, clouds, 1431652, 1, 1, 1, 1, 0.049103, 9, 0, 4674.234375, ~, 1, 23277570971124
fe, 1, -106368, -109655.063477, tiger, 7608, 1, 0, 0, 1, 0.000000, 1168, 1, 4107.269043, D, 0, 354545624576960979
12, 7, -2, 531.978027, fruit, 224, 1, 1, 1, 0, -0.000122, 958, 1, 4057.459473, 6, 0, 473742762741
2, 1, -5, 3963.675781, cars, 913, 0, 1, 1, 0, -0.000549, 454, 0, 4028.972656, 0, 1, 2194331525614740606
fc, 8, -4935, 6.617676, burn, 8, 1, 1, 0, 1, 0.001892, 2411, 0, 3725.023438, !, 1, 30112107784462
c4, 0, -42793952, 0.009277, side, 90217791, 0, 1, 1, 0, -23.849060, 241, 1, 3301.204102, +, 1, 2544738
c4, 23, -42793952, 0.009277, side, 90217791, 0, 1, 1, 0, 7602.485840, 241, 1, 3301.204102, +, 1, 2544738
fe, 6, -239533, -6120.931641, bed, 1124846727, 1, 1, 0, 1, 0.000031, 54, 1, 3063.493896, m, 1, 9943374493716
de, 88, -1623412425, 18.880371, parcel, 446397, 0, 1, 0, 1, -1.098877, 238, 1, 2527.703857, |, 1, 27581957520150
1f, 10, -45, 0.081543, horses, 6428615, 1, 0, 1, 0, -0.000793, 64, 0, 2350.142578, ?, 1, 1
