act, ear, blade, afternoon, zinc, degree, flag, quarter, tin, grade, angle, ship, hot, caption, prison, mitten, knife
0, 4, 0, -0.007812, wool, 15141, 1, 0, 0, 1, -0.763641, 1, 0, -7114.561035, h, 1, 605463
a8, 2, -761332, 1115.391602, flame, 8332, 0, 0, 0, 1, 1137.198242, 0, 1, 0.006348, h, 0, 4
fb, 61, 54971, -73.041992, plot, 18, 0, 1, 0, 1, -0.000946, 194, 0, 0.019257, j, 0, 19
15, 50, -247, 0.389648, nest, 602, 0, 1, 1, 0, 5.215668, 137, 0, 120.162079, ., 1, 24
f3, 31, 1913, 1162.671387, profit, 4, 0, 1, 0, 1, -36.184021, 14224, 1, 183.133850, 9, 1, 3148561
ca, 14, 4, 0.003418, cars, 1, 0, 0, 1, 0, 607.689087, 214, 0, -154.278564, l, 1, 11662
ff, 136, 12, -0.028320, flame, 0, 0, 1, 1, 1, 0.001709, 5, 0, 0.023987, T, 1, 1615134929
d3, 1, 0, -0.726074, shock, 30639, 1, 1, 1, 0, 0.006348, 114, 0, 4504.419922, X, 0, 2950994
ff, 8, 0, -27638.472656, sneeze, 1519, 0, 0, 1, 0, 0.272827, 1012, 0, 5.427673, _, 0, 14
ef, 1, -69, 7567.632812, humor, 2, 1, 0, 0, 0, -0.468414, 0, 0, -0.011322, =, 1, 5172
0, 5, -879079, 0.095703, arm, 1, 0, 1, 1, 0, 0.111206, 2, 1, 0.001709, K, 0, 15537937
0, 91, 258330, -0.120117, sound, 1233, 1, 1, 1, 0, 0.063721, 135, 0, 0.000000, 7, 0, 5
1, 15, 51928, 91440.226562, whip, 0, 0, 1, 0, 0, -5.304810, 7, 1, -13517.523438, h, 1, 103
0, 2, -10, -118216.500000, color, 26, 0, 0, 0, 0, -0.000580, 1953, 1, 0.000854, s, 0, 4
1, 35, -84902, 0.000488, band, 3, 0, 1, 0, 1, -28.792816, 63696, 1, -0.261017, 4, 1, 439
ff, 14, -1470, 423.318848, shoes, 2808, 1, 0, 0, 0, 0.001740, 13, 0, -0.125885, z, 1, 493288791
19, 0, 552666, 0.003418, chair, 835, 1, 0, 0, 1, 1060.880859, 463, 1, 59.098389, 6, 0, 3
0, 108, 1, -0.041992, queen, 56954, 0, 0, 1, 1, -0.007141, 460, 0, 24.869171, %, 1, 40
f9, 0, 9, -0.000488, stream, 3, 0, 1, 0, 0, -0.000000, 45, 1, -0.003235, J, 1, 484
a0, 23, 18951, 0.000000, humor, 5451, 1, 1, 0, 1, -0.005402, 3925, 1, -0.006226, v, 1, 51984851
bb, 26, 9800, -9171.140625, motion, 34, 0, 1, 1, 0, -1205.630615, 20, 0, 16618.017578, B, 1, 3
16, 4, 2817, 155.437988, bit, 1946, 0, 0, 1, 1, -0.000031, 59443, 0, -0.000092, q, 1, 66570
0, 6, 63700, 0.001465, sign, 111, 0, 0, 0, 0, 43.863159, 4, 0, 0.000214, H, 0, 434724
fd, 4, 649315, 125585.062500, train, 698, 0, 1, 0, 1, -5482.689453, 18, 1, 0.059113, p, 1, 187700
71, 0, -411, -113895.554688, arm, 4129, 1, 1, 0, 1, 0.000031, 928, 1, 3104.780273, a, 1, 3080
1, 9, 13, 0.000488, loss, 30713, 1, 0, 1, 0, -14.373535, 101, 1, -0.010193, X, 1, 125584137
a8, 2, -761332, -0.573242, flame, 8332, 0, 1, 0, 0, 10082.878906, 14793, 1, 0.006348, ., 0, 4
7, 31, -266107, -3493.070801, rain, 12, 1, 1, 0, 0, -3711.295166, 3, 1, 91.067657, P, 1, 15
fd, 19, -2435, -1.883789, crayon, 1, 1, 0, 1, 0, -0.002258, 31, 1, 40.691162, h, 1, 1591094050
7d, 47, -420, 0.004883, mint, 3541, 1, 1, 1, 0, 2.621216, 3, 0, 0.015381, 9, 0, 535972053
1, 3, -10, -10583.679688, thumb, 0, 1, 1, 0, 1, -0.780975, 7088, 1, -0.000061, f, 0, 14906301
43, 6, 124, -0.000488, whip, 34429, 1, 0, 1, 1, -0.029022, 7, 1, 1495.428833, k, 0, 968
1, 2, -1, -541.564453, limit, 0, 0, 1, 0, 0, -1981.393311, 1384, 1, 0.003876, ;, 1, 4
fa, 87, -488, 12.146973, lead, 205, 1, 1, 1, 1, -0.011932, 9, 0, -0.001556, u, 0, 208
7, 6, -220, 1688.534668, stem, 61, 1, 1, 0, 0, 0.057404, 15444, 1, -0.000000, c, 0, 59
f8, 57, -7663, -0.000488, fact, 7, 0, 0, 1, 1, -8581.801758, 12714, 1, -0.000031, q, 1, 46583035
ff, 49, 9, 52.668945, doll, 6211, 0, 1, 0, 0, 0.000214, 225, 1, -0.003235, $, 1, 1713150
f0, 13, -213, 0.169922, memory, 1076, 0, 0, 1, 1, 0.000031, 417, 1, -1.252899, /, 1, 185
fc, 49, 36863, 82.352051, wire, 2, 1, 1, 0, 1, -0.002716, 10322, 0, 0.000031, =, 1, 4312
ab, 41, -16036, -2.671387, flavor, 2648, 1, 0, 0, 1, -32.213806, 1273, 1, -734.407349, m, 1, 10966
c, 15, 5, 979.583984, yoke, 23652, 1, 0, 1, 0, 3.999481, 239, 0, 0.334442, J, 0, 1048544213
ff, 120, -179826, 0.000488, beam, 335, 1, 0, 0, 0, -4.480804, 1528, 0, -0.010895, 1, 0, 3
3b, 1, -2180, 0.044922, oven, 599, 0, 0, 1, 1, -0.016235, 30, 1, -0.000275, %, 1, 313151
76, 7, 84660, 12.908691, legs, 5, 0, 0, 1, 1, -0.002930, 319, 1, -63.407471, _, 1, 30
5, 4, 12701, 6.222168, bean, 0, 0, 0, 0, 1, -0.000610, 27, 1, -12441.714844, h, 0, 24
ff, 12, -213, -0.000488, grip, 55556, 0, 0, 1, 0, 0.000031, 125, 1, -1.996307, S, 1, 185
ff, 1, 3109, -2004.056641, wood, 1, 1, 1, 0, 1, 472.463593, 603, 1, -8.335724, d, 0, 90584143
0, 52, 2310749, 0.015137, play, 1837, 0, 0, 1, 1, -14621.167969, 3, 0, 0.003448, R, 1, 210830
ff, 17, -2853580, 173.710938, veil, 8086, 1, 0, 1, 1, -14860.634766, 152, 0, 0.000122, ^, 1, 1717251827
fc, 29, 43, -37876.230469, teeth, 140, 0, 0, 1, 1, 7760.869141, 4, 1, 1495.428833, c, 0, 726785
fc, 0, -264, 121.625977, coat, 33, 1, 1, 1, 1, -2824.429688, 46883, 1, 0.000031, ), 0, 1053453618
0, 18, 7, -3.354004, bread, 2789, 0, 1, 1, 1, 0.000092, 9, 1, -4856.622559, A, 0, 10
fc, 4, 2131, -0.025391, net, 44, 1, 1, 1, 0, 0.000153, 695, 1, 0.115570, W, 1, 17041
fd, 4, -10311, -3.303223, slave, 698, 0, 1, 0, 0, -938.425171, 0, 1, 0.059113, p, 0, 187700
fe, 173, -7294, -9.726562, bee, 1, 1, 0, 0, 0, -49.746490, 275, 0, 0.000031, S, 1, 1416739
fc, 182, 3, -28.539551, queen, 215, 0, 1, 0, 1, -0.007141, 460, 1, 24.869171, %, 1, 0
fe, 12, 29, -434.468750, comb, 3, 0, 1, 1, 1, 0.305145, 1832, 1, 874.006775, O, 0, 785
